                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0401,                 4.6103,                 1.1779,                0.48166,                0.13021,                0.09032,                0.08058,                0.81484,                 3.3694,                0.99523,                 0.0702,              0.0033111,              0.0033111
                      1,                0.97845,                 3.2769,                 1.1201,                0.32649,                0.25486,                0.15776,                0.13247,                0.83666,                 2.9049,                 1.0083,               0.040134,              0.0065787,              0.0065787
                      2,                 1.0403,                 3.0339,                 1.1255,                0.47496,                0.13742,                0.13134,                0.10498,                0.93594,                 2.9442,                 1.0342,               0.010002,              0.0097802,              0.0097802
                      3,                 1.0963,                 2.9536,                 1.1467,                0.53192,                0.14323,                 0.1364,                 0.1076,                 1.0554,                 2.8943,                 1.1506,               0.009703,               0.009703,               0.009703
                      4,                 1.1414,                 2.7962,                 1.1669,                0.35893,                0.25183,                0.16119,                0.12062,                 1.1131,                 2.9229,                 1.1238,               0.009703,               0.009703,               0.009703
                      5,                 1.1651,                 2.7597,                 1.1676,                0.34804,                0.16226,                0.13701,                0.11358,                 1.0913,                 3.0072,                 1.1411,               0.009604,               0.009604,               0.009604
                      6,                 1.1691,                 2.5938,                 1.1814,                0.32435,                0.18508,                0.13278,                 0.0971,                 1.1097,                 2.8531,                 1.1724,               0.009505,               0.009505,               0.009505
                      7,                 1.1672,                 2.5789,                 1.1822,                0.44164,                0.19139,                 0.1438,                 0.1146,                 1.0745,                 2.9202,                 1.1197,               0.009406,               0.009406,               0.009406
                      8,                 1.1348,                 2.4968,                 1.1671,                 0.4429,                0.18759,                0.14108,                0.09433,                 1.1381,                 2.7458,                 1.1562,               0.009307,               0.009307,               0.009307
                      9,                 1.1503,                 2.4525,                 1.1816,                0.36646,                0.13796,                0.12214,                0.08916,                 1.1039,                 2.7772,                 1.1278,               0.009208,               0.009208,               0.009208
                     10,                 1.1073,                 2.2949,                 1.1466,                0.22498,                 0.2334,                0.14888,                0.11676,                 1.0998,                 2.8763,                 1.1405,               0.009109,               0.009109,               0.009109
                     11,                 1.0839,                 2.2617,                 1.1453,                0.25032,                0.23692,                0.14927,                0.11908,                 1.0449,                 2.7077,                 1.1042,                0.00901,                0.00901,                0.00901
                     12,                 1.0698,                 2.1366,                 1.1258,                0.30142,                0.23103,                0.14846,                0.11279,                 1.0345,                 2.6438,                 1.1066,               0.008911,               0.008911,               0.008911
                     13,                   1.06,                 2.1833,                 1.1362,                0.43005,                 0.2277,                0.16534,                 0.1317,                 1.0534,                 2.6123,                 1.0954,               0.008812,               0.008812,               0.008812
                     14,                  1.066,                 2.0975,                 1.1251,                0.33254,                0.26229,                0.17916,                 0.1411,                  1.032,                 2.5427,                 1.1022,               0.008713,               0.008713,               0.008713
                     15,                 1.0309,                 1.9786,                 1.1051,                0.57013,                 0.1526,                0.16698,                0.13118,                 1.0442,                 2.6022,                 1.0924,               0.008614,               0.008614,               0.008614
                     16,                  1.038,                 1.9541,                 1.1034,                0.35473,                0.17244,                0.16996,                0.13348,                 1.0593,                 2.6028,                 1.1229,               0.008515,               0.008515,               0.008515
                     17,                 1.0244,                 1.8808,                 1.0953,                 0.3681,                0.21093,                0.19477,                0.15099,                0.99625,                 2.5792,                  1.073,               0.008416,               0.008416,               0.008416
                     18,                 1.0077,                 1.8726,                 1.0906,                0.51778,                0.15443,                0.17472,                0.14262,                0.99889,                 2.5321,                 1.0654,               0.008317,               0.008317,               0.008317
                     19,                0.98082,                 1.7532,                   1.08,                0.40753,                0.22855,                0.18783,                0.14822,                 1.0269,                 2.5293,                 1.0932,               0.008218,               0.008218,               0.008218
                     20,                0.95556,                 1.7617,                 1.0716,                0.34565,                0.29985,                0.19768,                0.16406,                 1.0432,                 2.4568,                 1.0966,               0.008119,               0.008119,               0.008119
                     21,                0.98402,                 1.6772,                 1.0736,                0.23183,                0.28301,                 0.1901,                0.15298,                0.96114,                 2.5484,                 1.0453,                0.00802,                0.00802,                0.00802
                     22,                0.95578,                 1.6509,                 1.0706,                0.32212,                0.20828,                0.17422,                0.14216,                0.97759,                 2.6049,                 1.0809,               0.007921,               0.007921,               0.007921
                     23,                0.92006,                 1.6007,                 1.0407,                0.34516,                0.27359,                0.21514,                0.17923,                 1.0042,                 2.5034,                 1.1086,               0.007822,               0.007822,               0.007822
                     24,                0.92438,                 1.5294,                 1.0568,                0.32426,                0.22517,                  0.197,                0.15744,                 1.0691,                 2.6491,                 1.1052,               0.007723,               0.007723,               0.007723
                     25,                0.95902,                 1.5474,                 1.0584,                0.39717,                0.23503,                0.19537,                0.15748,                 1.0119,                 2.5809,                 1.0729,               0.007624,               0.007624,               0.007624
                     26,                0.92472,                 1.4887,                 1.0498,                0.40563,                0.24451,                0.22479,                0.18627,                0.98924,                 2.4983,                 1.0728,               0.007525,               0.007525,               0.007525
                     27,                0.91729,                 1.4173,                 1.0385,                0.38969,                0.19902,                0.17892,                0.15058,                0.99013,                 2.5925,                 1.0756,               0.007426,               0.007426,               0.007426
                     28,                0.88603,                 1.3878,                  1.036,                0.45507,                0.21363,                0.23467,                0.19682,                0.99803,                 2.4964,                 1.0782,               0.007327,               0.007327,               0.007327
                     29,                0.88804,                 1.3562,                 1.0312,                0.38541,                0.23578,                0.20517,                0.17089,                 1.0178,                 2.5057,                 1.0981,               0.007228,               0.007228,               0.007228
                     30,                0.88746,                 1.2864,                 1.0245,                0.43354,                0.19104,                0.18963,                0.15677,                      1,                 2.5376,                 1.0863,               0.007129,               0.007129,               0.007129
                     31,                0.88782,                 1.3116,                 1.0279,                0.40275,                0.16634,                0.17066,                0.14078,                0.99966,                 2.6226,                 1.0666,                0.00703,                0.00703,                0.00703
                     32,                0.85109,                 1.2408,                 1.0204,                0.28715,                0.29998,                0.21741,                0.18724,                0.99548,                 2.5365,                 1.0759,               0.006931,               0.006931,               0.006931
                     33,                0.85657,                 1.1989,                 1.0233,                0.50062,                0.20049,                0.23155,                0.19514,                 0.9464,                 2.4937,                  1.049,               0.006832,               0.006832,               0.006832
                     34,                0.85872,                 1.2045,                 1.0186,                0.40841,                0.27973,                0.24651,                0.20181,                0.98364,                 2.4721,                 1.0856,               0.006733,               0.006733,               0.006733
                     35,                0.82985,                 1.1829,                 1.0135,                0.26402,                0.24145,                0.18123,                0.14993,                0.99038,                 2.4769,                 1.0912,               0.006634,               0.006634,               0.006634
                     36,                0.83936,                  1.134,                 1.0094,                0.37208,                0.22087,                0.19031,                0.16128,                0.93532,                 2.5429,                 1.0697,               0.006535,               0.006535,               0.006535
                     37,                0.81919,                 1.0903,                0.99471,                0.40691,                0.25994,                0.24347,                0.19765,                 0.9775,                 2.5288,                 1.0849,               0.006436,               0.006436,               0.006436
                     38,                0.80255,                 1.0639,                0.99063,                0.35432,                0.18858,                0.18803,                0.16119,                0.98639,                 2.5364,                 1.1032,               0.006337,               0.006337,               0.006337
                     39,                0.81794,                 1.0616,                 1.0034,                0.33912,                0.24576,                0.18805,                0.15171,                0.95758,                 2.6694,                 1.0623,               0.006238,               0.006238,               0.006238
                     40,                 0.8016,                 1.0292,                0.99096,                0.49877,                0.21458,                0.21669,                0.18146,                0.93653,                 2.5267,                 1.0487,               0.006139,               0.006139,               0.006139
                     41,                 0.7857,                0.96843,                0.99971,                0.41226,                0.29541,                0.25626,                0.21658,                0.95484,                 2.6321,                 1.0742,                0.00604,                0.00604,                0.00604
                     42,                0.79228,                0.98218,                0.99184,                0.19615,                 0.2151,                0.19486,                0.15817,                0.95834,                 2.7228,                 1.0824,               0.005941,               0.005941,               0.005941
                     43,                0.79185,                0.98782,                0.99159,                0.29961,                0.23301,                0.17492,                0.14429,                0.93529,                 2.6513,                 1.0662,               0.005842,               0.005842,               0.005842
                     44,                0.76578,                0.92583,                0.96414,                0.49087,                0.19445,                0.20996,                0.17831,                 0.9364,                 2.4635,                 1.0637,               0.005743,               0.005743,               0.005743
                     45,                 0.7609,                  0.913,                0.97339,                0.30671,                0.27783,                0.21779,                  0.178,                0.93538,                 2.5378,                 1.0601,               0.005644,               0.005644,               0.005644
                     46,                0.75809,                 0.8857,                0.97368,                0.43714,                0.21568,                0.22142,                0.18705,                0.91436,                 2.6115,                 1.0576,               0.005545,               0.005545,               0.005545
                     47,                0.74216,                 0.8863,                0.96686,                0.42902,                0.20232,                0.23135,                0.19861,                0.92184,                 2.6008,                 1.0655,               0.005446,               0.005446,               0.005446
                     48,                0.75707,                0.88836,                0.96359,                0.38121,                0.21316,                 0.1954,                0.16643,                0.94621,                 2.6235,                 1.0731,               0.005347,               0.005347,               0.005347
                     49,                0.75521,                0.86092,                0.96854,                0.48216,                0.23419,                0.21866,                0.18893,                0.88842,                 2.5913,                 1.0293,               0.005248,               0.005248,               0.005248
                     50,                0.75169,                0.85425,                0.96652,                0.40546,                0.22398,                0.19964,                0.17391,                0.91185,                 2.5979,                 1.0456,               0.005149,               0.005149,               0.005149
                     51,                 0.7455,                0.80826,                0.95417,                0.32317,                0.26525,                0.19992,                0.17094,                 0.8917,                  2.649,                 1.0212,                0.00505,                0.00505,                0.00505
                     52,                0.71471,                0.81571,                0.95721,                0.31089,                0.29446,                0.23123,                0.19981,                0.93027,                 2.6305,                 1.0478,               0.004951,               0.004951,               0.004951
                     53,                0.72345,                0.77154,                0.94259,                0.46597,                0.24196,                0.25663,                0.22614,                0.89593,                 2.5754,                 1.0256,               0.004852,               0.004852,               0.004852
                     54,                0.69982,                0.75681,                0.94527,                0.32621,                0.26332,                0.23849,                0.21187,                 0.8793,                 2.6954,                 1.0281,               0.004753,               0.004753,               0.004753
                     55,                0.72494,                0.75854,                0.95538,                0.42414,                0.23477,                0.23287,                0.20172,                0.93679,                 2.6228,                 1.0865,               0.004654,               0.004654,               0.004654
                     56,                 0.7125,                0.74449,                0.94737,                0.51847,                0.24221,                0.25658,                0.22655,                0.90907,                 2.5049,                  1.057,               0.004555,               0.004555,               0.004555
                     57,                0.69508,                0.71898,                0.93887,                0.47735,                 0.2429,                 0.2511,                0.22015,                0.91241,                 2.6493,                 1.0439,               0.004456,               0.004456,               0.004456
                     58,                0.69765,                0.71367,                 0.9443,                 0.3718,                0.26578,                0.22104,                0.18599,                0.93612,                 2.7268,                 1.0563,               0.004357,               0.004357,               0.004357
                     59,                0.67878,                0.70299,                0.92653,                0.40004,                0.27605,                0.21976,                0.19298,                0.91836,                 2.6967,                 1.0374,               0.004258,               0.004258,               0.004258
                     60,                 0.6854,                0.67199,                0.93451,                0.42459,                0.23777,                0.22845,                0.20204,                0.90152,                 2.6882,                 1.0576,               0.004159,               0.004159,               0.004159
                     61,                0.68053,                0.68959,                0.94036,                0.53278,                0.19605,                0.19633,                0.17197,                0.93616,                 2.7016,                 1.0892,                0.00406,                0.00406,                0.00406
                     62,                 0.6738,                0.66704,                0.92846,                0.49232,                0.19657,                0.19952,                  0.173,                0.92795,                  2.717,                 1.0766,               0.003961,               0.003961,               0.003961
                     63,                0.66591,                 0.6519,                 0.9243,                0.37734,                0.24723,                0.22316,                0.19277,                0.92353,                 2.6286,                 1.0714,               0.003862,               0.003862,               0.003862
                     64,                0.66315,                0.66193,                0.92724,                0.45514,                0.22043,                0.23055,                0.19323,                0.93564,                 2.6952,                 1.0761,               0.003763,               0.003763,               0.003763
                     65,                0.66168,                0.64463,                0.92676,                0.40218,                0.25242,                0.25976,                0.22335,                0.92844,                 2.7373,                   1.05,               0.003664,               0.003664,               0.003664
                     66,                 0.6627,                0.65829,                0.92095,                0.31316,                0.30902,                0.24562,                0.21593,                0.90085,                  2.749,                 1.0486,               0.003565,               0.003565,               0.003565
                     67,                0.64952,                0.62196,                0.91744,                0.46413,                0.23119,                0.26968,                0.23199,                0.88642,                 2.7878,                 1.0495,               0.003466,               0.003466,               0.003466
                     68,                0.62954,                0.60671,                0.91981,                0.52774,                0.23524,                0.25544,                0.22537,                0.92007,                 2.7282,                 1.0539,               0.003367,               0.003367,               0.003367
                     69,                0.65352,                0.61367,                0.92034,                0.47227,                0.20921,                0.21198,                0.18659,                0.96515,                 2.7827,                 1.1018,               0.003268,               0.003268,               0.003268
                     70,                0.64727,                0.60922,                0.91462,                0.39848,                0.26677,                0.20699,                0.17627,                0.92529,                 2.7936,                 1.0784,               0.003169,               0.003169,               0.003169
                     71,                0.62483,                0.59585,                 0.9216,                0.38489,                 0.2364,                0.21915,                0.19312,                0.90978,                 2.8504,                 1.0564,                0.00307,                0.00307,                0.00307
                     72,                0.61711,                0.58047,                0.90914,                0.40026,                0.25101,                  0.207,                0.17714,                0.92025,                 2.8206,                 1.0523,               0.002971,               0.002971,               0.002971
                     73,                0.61747,                0.58202,                0.91108,                0.40288,                0.21844,                0.20293,                0.17387,                0.92756,                 2.7712,                 1.0713,               0.002872,               0.002872,               0.002872
                     74,                0.61463,                0.57228,                0.90895,                0.51745,                 0.2025,                0.20397,                0.17118,                0.91158,                 2.7732,                 1.0718,               0.002773,               0.002773,               0.002773
                     75,                0.61459,                0.56958,                0.90427,                0.46993,                0.20931,                0.23455,                 0.1971,                0.93633,                 2.7664,                 1.1018,               0.002674,               0.002674,               0.002674
                     76,                0.60397,                0.55376,                0.90299,                0.34778,                0.30063,                0.24063,                0.19608,                0.91075,                 2.6885,                 1.0739,               0.002575,               0.002575,               0.002575
                     77,                0.59602,                0.53378,                0.89806,                0.36585,                0.28307,                 0.2314,                0.18844,                0.90035,                 2.7557,                 1.0522,               0.002476,               0.002476,               0.002476
                     78,                0.60309,                0.54477,                0.90999,                0.46683,                0.22683,                0.21805,                0.19406,                0.86268,                 2.6963,                 1.0367,               0.002377,               0.002377,               0.002377
                     79,                0.58944,                0.51796,                0.89323,                0.49915,                0.24105,                 0.2659,                0.23888,                0.87911,                 2.7123,                 1.0342,               0.002278,               0.002278,               0.002278
                     80,                0.58774,                0.53095,                0.90321,                0.46633,                0.26199,                0.25714,                 0.2275,                0.88459,                 2.6358,                  1.034,               0.002179,               0.002179,               0.002179
                     81,                0.59505,                0.52203,                0.89912,                0.40491,                0.27663,                0.27463,                0.23521,                 0.8964,                 2.6602,                 1.0584,                0.00208,                0.00208,                0.00208
                     82,                0.58323,                0.51291,                0.89631,                0.49481,                 0.2463,                0.27794,                0.23468,                0.86713,                 2.7442,                 1.0398,               0.001981,               0.001981,               0.001981
                     83,                0.57343,                0.51045,                0.89673,                0.41197,                0.29664,                 0.2633,                0.22774,                0.83104,                 2.6806,                 1.0133,               0.001882,               0.001882,               0.001882
                     84,                0.57479,                0.49452,                0.89677,                0.40417,                0.27436,                 0.2788,                0.23425,                0.85056,                 2.6983,                 1.0275,               0.001783,               0.001783,               0.001783
                     85,                0.56757,                0.49064,                0.88972,                0.42891,                0.27273,                0.28196,                0.23819,                0.84281,                 2.6361,                 1.0281,               0.001684,               0.001684,               0.001684
                     86,                0.57634,                0.49094,                0.89645,                0.58075,                0.24109,                0.26164,                0.22885,                0.83194,                 2.6416,                 1.0185,               0.001585,               0.001585,               0.001585
                     87,                0.56214,                0.47764,                0.88308,                0.50031,                0.25087,                 0.2395,                0.20737,                0.84691,                 2.6974,                 1.0247,               0.001486,               0.001486,               0.001486
                     88,                0.56112,                0.47246,                0.89224,                0.39671,                0.23572,                0.22763,                0.20159,                0.85798,                 2.7167,                 1.0294,               0.001387,               0.001387,               0.001387
                     89,                0.55128,                0.46729,                 0.8883,                0.50453,                0.22177,                0.23516,                0.20749,                0.84374,                 2.6785,                 1.0392,               0.001288,               0.001288,               0.001288
                     90,                0.49699,                0.41164,                0.83748,                0.53918,                0.21278,                0.23245,                0.20177,                0.86606,                 2.7395,                 1.0349,               0.001189,               0.001189,               0.001189
                     91,                0.47765,                0.38328,                 0.8238,                0.47162,                0.24132,                0.23947,                0.21008,                0.85747,                 2.6812,                 1.0418,                0.00109,                0.00109,                0.00109
                     92,                0.46759,                 0.3715,                 0.8222,                0.46015,                 0.2305,                0.25538,                0.23041,                0.83414,                 2.7117,                 1.0229,               0.000991,               0.000991,               0.000991
                     93,                0.47452,                0.37313,                0.82425,                0.40815,                0.25753,                0.25494,                0.22835,                0.83759,                 2.6852,                 1.0238,               0.000892,               0.000892,               0.000892
